id_contrat,id_producteur,date_debut,date_fin,type,remuneration
1,114,2010-5-27,2018-7-17,CDD,75000
2,23,2010-2-16,2015-5-5,CDD,75000
3,134,2011-12-11,2016-12-23,CDD,75000
4,5,2011-2-1,2016-8-7,CDD,75000
5,181,2011-2-10,2016-1-12,CDD,75000
6,110,2011-5-23,2025-4-13,CDD,75000
7,12,2010-1-15,2021-5-21,CDD,75000
8,28,2011-4-26,2014-8-20,CDD,75000
9,98,2010-10-12,2020-10-10,CDD,75000
10,194,2010-10-3,2025-3-17,CDD,75000
11,149,2010-11-18,2017-3-19,CDD,75000
12,175,2011-9-12,2020-9-10,CDD,75000
13,55,2011-2-14,2023-8-15,CDD,75000
14,73,2011-6-27,2023-11-27,CDD,75000
15,16,2010-12-2,2024-6-20,CDD,75000
16,82,2011-10-19,2020-7-22,CDD,75000
17,131,2010-11-27,2013-11-26,CDD,75000
18,44,2011-3-18,2014-11-11,CDD,75000
19,20,2010-4-11,2012-12-18,CDD,75000
20,35,2011-12-27,2012-2-21,CDD,75000
21,61,2010-2-2,2016-7-20,CDD,75000
22,127,2010-3-17,2020-12-19,CDD,75000
23,107,2010-12-16,2024-11-8,CDD,75000
24,74,2011-6-6,2012-2-24,CDD,75000
25,113,2010-1-27,2013-5-9,CDD,75000
26,132,2010-4-3,2025-8-12,CDD,75000
27,184,2010-4-18,2024-11-23,CDD,75000
28,134,2011-12-11,2020-10-3,CDD,75000
29,184,2010-11-17,2018-2-20,CDD,75000
30,46,2011-10-9,2019-1-12,CDD,75000
31,78,2011-4-13,2021-10-7,CDD,75000
32,156,2011-6-16,2021-5-18,CDD,75000
33,42,2011-10-8,2016-1-18,CDD,75000
34,14,2011-11-11,2015-10-17,CDD,75000
35,118,2011-8-10,2015-7-24,CDD,75000
36,63,2010-9-6,2025-1-23,CDD,75000
37,8,2010-12-25,2014-12-3,CDD,75000
38,73,2010-2-12,2012-7-10,CDD,75000
39,194,2010-2-25,2022-6-19,CDD,75000
