id_demmande,id_agent,role_com,sexe,taille,poids,date_debut,date_fin
1,180,mechant,M,1.507228962666237,111.38069921571861,2020-7-26,2021-6-24
2,21,superhero,F,1.957621828492769,108.02442573773709,2020-3-5,2021-1-1
3,118,superhero,F,1.9382117032061548,103.85435641142016,2020-5-5,2021-8-8
4,130,superhero,F,1.9776403001308915,63.2050486279723,2020-6-10,2021-10-6
5,77,mechant,M,1.7066535824078366,66.12572404225472,2020-6-24,2021-7-24
6,128,superhero,F,1.927452754801938,64.9343492120337,2020-3-17,2021-2-6
7,80,mechant,F,1.5655701342892976,83.07977841372598,2020-7-25,2021-6-23
8,117,mechant,M,1.639688823076077,74.82178228144623,2020-10-6,2021-5-16
9,28,gentil,M,2.1793517665617417,90.70935962652797,2020-8-24,2021-9-7
10,146,gentil,M,1.8828844952236437,72.80608994738644,2020-10-15,2021-1-28
11,82,gentil,F,1.6543314220874352,61.62429527547455,2020-8-6,2021-6-16
12,109,mechant,M,2.178642970769539,71.00581719149282,2020-4-27,2021-8-18
13,181,gentil,F,1.5061999114530011,99.67974713090825,2020-6-21,2021-2-14
14,165,superhero,F,1.556078816286305,95.52857612366061,2020-5-9,2021-4-18
15,28,mechant,F,1.800396767933487,79.47302301715126,2020-7-11,2021-4-27
16,58,gentil,M,1.7431320681322848,77.48428465050202,2020-9-14,2021-7-23
17,24,superhero,M,1.7223509365156686,68.26505410826465,2020-1-5,2021-2-4
18,57,gentil,F,1.8653561769492217,77.4480532401569,2020-12-20,2021-1-12
19,108,superhero,M,1.8965054116102746,112.80045050107609,2020-10-11,2021-1-10
20,111,mechant,F,1.5120500268649506,47.96437843882525,2020-9-17,2021-8-20
21,20,mechant,M,1.823826240581332,67.71489894240021,2020-12-7,2021-5-14
22,139,mechant,M,1.723771827850364,106.39481138803689,2020-7-10,2021-4-19
23,98,mechant,F,1.6531144282281327,91.7579830561771,2020-4-12,2021-8-19
24,18,gentil,M,2.058392073144634,60.33640009698522,2020-11-16,2021-6-14
25,53,gentil,F,1.5418366299572746,84.69455295459926,2020-4-27,2021-12-18
26,47,superhero,M,1.6653456708959153,90.12738228049267,2020-10-23,2021-12-23
27,5,superhero,F,1.968129260260591,86.47490122837874,2020-2-4,2021-9-9
28,40,mechant,M,1.6904190130767882,93.0873897972408,2020-4-6,2021-4-26
29,19,gentil,M,1.7788805650591428,102.93093238196518,2020-11-7,2021-4-18
30,111,gentil,F,1.6004743877110532,88.72817465346549,2020-2-9,2021-12-21
31,120,superhero,F,1.914444294807149,81.40965661351102,2020-12-19,2021-9-27
32,22,mechant,F,1.9930217424969652,66.41107014259264,2020-11-25,2021-3-12
33,41,mechant,F,1.5703290931677578,60.10798687173602,2020-4-23,2021-10-10
34,94,gentil,F,1.5441123164846062,102.20676017635238,2020-2-27,2021-8-23
35,139,mechant,M,1.6582178141476442,99.45800964158883,2020-4-9,2021-9-10
36,176,mechant,F,1.6894630339339938,63.514900232611225,2020-2-13,2021-4-26
37,3,gentil,M,1.7887728942787553,104.03513613755588,2020-6-3,2021-12-13
38,140,mechant,M,1.5919838591020494,76.15705287934287,2020-8-5,2021-3-14
39,112,mechant,M,2.1673489801759613,90.4805731989554,2020-1-24,2021-9-16
40,63,gentil,M,1.6329406393109067,73.53821660161292,2020-8-28,2021-10-21
41,165,gentil,F,1.719853165832543,53.264404399382585,2020-8-11,2021-7-8
42,141,superhero,F,1.5956846304835834,82.19825441074863,2020-4-7,2021-7-24
43,105,mechant,F,1.5421160823188367,75.19538523878084,2020-8-18,2021-10-17
44,13,superhero,F,1.5584606610021872,106.79993316143918,2020-2-15,2021-3-17
45,55,mechant,M,2.0815279686036585,94.77065485064435,2020-11-6,2021-1-22
46,50,mechant,F,1.6533370769240598,103.5954862757156,2020-2-1,2021-9-20
47,159,superhero,F,1.7878752004076786,67.56138661546379,2020-9-23,2021-3-19
48,174,gentil,F,1.5601999000188924,58.413074795865036,2020-7-2,2021-9-11
49,133,mechant,M,1.5542362398205656,105.35512341307249,2020-1-6,2021-3-9
50,165,gentil,M,1.7902806338362158,100.10321238199126,2020-6-24,2021-6-7
51,154,superhero,M,1.861422480721278,71.28829765805347,2020-2-15,2021-11-1
52,105,mechant,M,1.749513691006016,93.6320363350965,2020-10-16,2021-11-1
53,79,mechant,M,2.0749276372601484,70.03457582216214,2020-11-21,2021-10-5
54,107,gentil,M,1.8815929547773178,91.03373765879277,2020-10-24,2021-7-4
55,162,mechant,F,1.9278585637387151,107.10808463128862,2020-3-1,2021-2-1
56,8,gentil,F,1.514237330487078,104.07446374629654,2020-5-17,2021-3-15
57,142,superhero,F,1.9177910985801858,73.91472269817675,2020-4-20,2021-6-27
58,194,superhero,F,1.5002596540118516,74.00706977960631,2020-10-16,2021-12-12
59,4,mechant,F,1.7900463309507586,85.33412263493489,2020-9-25,2021-2-13
60,104,mechant,F,1.7800571175144064,63.56283794656197,2020-12-27,2021-2-28
61,188,gentil,M,1.9913911764400922,113.17566190017278,2020-4-25,2021-2-12
62,84,superhero,F,1.8078559749224916,71.19644951000369,2020-7-18,2021-7-27
63,22,gentil,F,1.734128964500639,45.9187053802212,2020-2-20,2021-10-3
64,43,gentil,F,1.7961389971097066,78.10632578295628,2020-2-20,2021-3-7
65,133,superhero,F,1.6270504674926076,90.79485258334054,2020-5-16,2021-3-20
66,25,superhero,F,1.568313712013437,93.10659687581523,2020-5-15,2021-8-8
67,161,mechant,M,1.5144026625431082,117.31647591093667,2020-8-3,2021-5-24
68,140,superhero,M,2.0769722408297553,57.70693527687058,2020-5-18,2021-5-25
69,50,gentil,F,1.7196851063579417,106.92804681977354,2020-6-6,2021-4-26
70,5,superhero,M,1.8133157244565854,102.92301639024491,2020-10-18,2021-6-26
71,165,superhero,F,1.643595407128116,97.10536312967695,2020-11-8,2021-3-11
72,14,superhero,M,1.7330049953575286,92.58946068922555,2020-2-16,2021-8-26
73,123,mechant,F,1.7352777837247297,54.2660756126299,2020-2-16,2021-4-3
74,190,gentil,M,1.7349301738708256,118.62941936508602,2020-10-28,2021-1-5
75,41,superhero,M,1.721306912739296,116.89459908191506,2020-10-3,2021-12-24
76,24,mechant,M,2.1621723060380926,69.17833314819433,2020-6-12,2021-10-2
77,74,mechant,M,1.5723626585152,124.7459229366188,2020-11-8,2021-3-6
78,140,mechant,M,1.5862949880294492,73.53804623705022,2020-11-14,2021-9-6
79,99,mechant,M,2.005700453171883,68.33873485270598,2020-6-23,2021-5-12
80,56,gentil,F,1.9236411022485722,61.91475474019242,2020-4-27,2021-4-10
81,123,superhero,M,2.1626235787780503,69.26196868758699,2020-3-21,2021-1-8
82,37,superhero,M,1.7332324101421137,113.17135678430711,2020-9-24,2021-7-7
83,49,gentil,F,1.665829838896312,51.47805257674823,2020-3-15,2021-6-3
84,146,superhero,F,1.784205349120755,94.40336534661127,2020-8-24,2021-7-21
